nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0360113	William Hanley	1931	2012	['writer', 'producer']	['tt0094685', 'tt0088149', 'tt0086679', 'tt0092416']
nm0360253	William Hanna	1910	2001	['producer', 'director', 'writer']	['tt0443706', 'tt0202179', 'tt0081933', 'tt0267913']
nm0363623	Falk Harnack	1913	1991	['director', 'writer']	['tt0058112', 'tt0052340', 'tt0047790', 'tt0043328']
nm0366935	David Hartman	\N	\N	['director', 'art_department', 'art_director']	['tt1659175', 'tt0281686', 'tt3627704', 'tt9310336']
nm0368124	Charlie Haskell	\N	\N	['director', 'assistant_director', 'actor']	['tt0389722', 'tt0107822', 'tt12360292', 'tt1922735']
nm0370081	Baz Hawkins	\N	\N	['writer', 'art_department', 'art_director']	['tt0121932', 'tt0318913', 'tt3688790', 'tt0136639']
nm0372663	John Heath	\N	\N	['producer', 'editor', 'director']	['tt0108724', 'tt0094561', 'tt0083483', 'tt3188546']
nm0375266	Andrew Heller	\N	\N	['actor', 'writer', 'director']	['tt0230308', 'tt14110226', 'tt0120570', 'tt7556244']
nm0377192	Alex Hennech	\N	\N	['director', 'writer', 'editor']	['tt0884294', 'tt1647985', 'tt0117670', 'tt0327469']
nm0378705	Jo Herbst	1928	1980	['actor', 'writer', 'music_department']	['tt0049288', 'tt0051963', 'tt0052161', 'tt0054479']
nm0379365	Michel Hermant	1942	\N	['director', 'writer', 'assistant_director']	['tt0346864', 'tt10174104', 'tt2073912', 'tt7818114']
nm0381758	Ivan Hetrich	1921	1999	['director', 'writer', 'actor']	['tt0194499', 'tt0192904', 'tt0483267', 'tt0483270']
nm0382548	Winston Hibler	1910	1976	['writer', 'producer', 'director']	['tt0046183', 'tt0053285', 'tt0043274', 'tt0042332']
nm0382614	Dennys McCoy	\N	\N	['writer', 'producer', 'miscellaneous']	['tt0293725', 'tt0108909', 'tt0870039', 'tt0381772']
nm0382655	Pamela Hickey	\N	\N	['writer', 'producer', 'music_department']	['tt0293725', 'tt0381772', 'tt0108909', 'tt0870039']
nm0384722	Tim Hill	1958	\N	['writer', 'producer', 'director']	['tt0206512', 'tt0101235', 'tt0952640', 'tt0345950']
nm0384864	Stephen Hillenburg	1961	2018	['writer', 'producer', 'soundtrack']	['tt0206512', 'tt0345950', 'tt0106115', 'tt5774060']
nm0387517	Tony Hoare	1938	2008	['writer']	['tt0123355', 'tt0078657', 'tt0071059', 'tt0111518']
nm0387877	Fritz Hochwälder	1911	1986	['writer', 'actor']	['tt0045449', 'tt0140059', 'tt0341777', 'tt0441074']
nm0394864	Ken Horn	\N	\N	['producer', 'director', 'camera_department']	['tt4800878', 'tt5327216', 'tt0147756', 'tt0472984']
nm0398986	George Huang	\N	\N	['director', 'writer', 'miscellaneous']	['tt0114594', 'tt0985694', 'tt0257076', 'tt0924141']
nm0400056	Dick Huemer	1898	1979	['writer', 'director', 'animation_department']	['tt0046593', 'tt0043274', 'tt0033563', 'tt0032455']
nm0404241	Martin Hutchings	\N	\N	['director', 'miscellaneous', 'production_manager']	['tt0259733', 'tt0106102', 'tt0167667', 'tt0271295']
nm0405440	Rolf Hädrich	1931	2000	['director', 'writer', 'actor']	['tt1262019', 'tt0304423', 'tt0350653', 'tt0058719']
nm0405934	Franz Höllering	1896	1968	['writer', 'assistant_director']	['tt0051964', 'tt0020054', 'tt0021816', 'tt0054966']
nm0406114	Bruno Hübner	1899	1983	['actor', 'director']	['tt0046986', 'tt0812256', 'tt0846833', 'tt0081086']
nm0406687	Leon Ichaso	1948	\N	['director', 'writer', 'producer']	['tt0261066', 'tt1351790', 'tt0079981', 'tt0115600']
nm0411958	Branko Ivanda	1941	\N	['director', 'writer', 'assistant_director']	['tt0084952', 'tt1935839', 'tt0339266', 'tt0183135']
nm0414144	Wilfred Jackson	1906	1988	['director', 'animation_department', 'music_department']	['tt0046183', 'tt0043274', 'tt0029583', 'tt0042332']
nm0414551	Michael Jacobs	\N	\N	['writer', 'producer', 'music_department']	['tt0092410', 'tt0086681', 'tt2543796', 'tt0110932']
nm0416297	Benedict James	1871	1957	['writer']	['tt0006471', 'tt0172549', 'tt0239420', 'tt0010712']
nm0418070	Susan Estelle Jansen	\N	\N	['producer', 'writer']	['tt0112066', 'tt10207090', 'tt0306841', 'tt0273366']
nm0421223	Nick Jennings	1965	\N	['animation_department', 'writer', 'art_director']	['tt0106115', 'tt4718304', 'tt1305826', 'tt0267913']
nm0423644	Alex Joffé	1918	1995	['writer', 'director', 'actor']	['tt0122492', 'tt0050375', 'tt0052136', 'tt0156583']
nm0426059	Rian Johnson	1973	\N	['director', 'writer', 'producer']	['tt1276104', 'tt8946378', 'tt2527336', 'tt0393109']
nm0426678	Jay Johnston	1968	\N	['actor', 'writer', 'producer']	['tt0112084', 'tt0357413', 'tt0120912', 'tt0277371']
nm0426735	Kevin Johnston	\N	\N	['producer', 'writer', 'director']	['tt2884170', 'tt1159605', 'tt7554866', 'tt4966002']
nm0428714	Lynae Riding Jones	\N	\N	['writer', 'producer']	['tt0176240']
nm0430043	Judi Jordan	\N	\N	['costume_designer', 'writer', 'costume_department']	['tt0305000', 'tt0201484', 'tt0477426', 'tt0289796']
nm0430210	Tony Jordan	1957	\N	['miscellaneous', 'writer', 'producer']	['tt5663062', 'tt0478942', 'tt0849988', 'tt0379632']
nm0434019	Iakovos Kabanellis	1922	2011	['writer', 'soundtrack', 'director']	['tt0048657', 'tt0202891', 'tt0064127', 'tt0181575']
nm0437912	Marcus Kanter	1970	\N	['cinematographer', 'camera_department', 'director']	['tt0287184', 'tt5672212', 'tt0323844', 'tt0498145']
nm0438707	Dogan Ümit Karaca	\N	\N	['director', 'assistant_director']	['tt0827503', 'tt14473896', 'tt0470883', 'tt6536562']
nm0440105	Matia Karrell	\N	\N	['director', 'assistant_director', 'camera_department']	['tt0094825', 'tt0859592', 'tt0200276', 'tt0282891']
nm0447482	Max Kempner-Hochstädt	\N	\N	['writer']	['tt0046507', 'tt5458596', 'tt1381126']
nm0450793	Chip Keyes	\N	\N	['producer', 'writer', 'miscellaneous']	['tt0081869', 'tt0103541', 'tt0090540', 'tt0090501']
nm0451633	Eduard Khil	1934	2012	['soundtrack', 'actor', 'director']	['tt14286460', 'tt2182001', 'tt2557478', 'tt0775440']
nm0452085	David Kiang	\N	\N	['editor', 'producer', 'writer']	['tt8701264', 'tt1616509', 'tt7165910', 'tt0807964']
nm0452993	Brian Kiley	\N	\N	['writer', 'actor', 'producer']	['tt0106052', 'tt0899126', 'tt1299729', 'tt1637574']
nm0453994	Jimmy Kimmel	1967	\N	['writer', 'producer', 'soundtrack']	['tt0318959', 'tt0202741', 'tt0320037', 'tt0118515']
nm0453996	Jonathan Kimmel	1976	\N	['soundtrack', 'writer', 'director']	['tt0405469', 'tt0268077', 'tt0121955']
nm0455733	Dick Kinney	1916	1985	['writer', 'animation_department', 'script_department']	['tt0038718', 'tt0046593', 'tt0057760', 'tt0281433']
nm0455741	Jack Kinney	1909	1992	['director', 'producer', 'writer']	['tt0032910', 'tt0033563', 'tt0038718', 'tt0046593']
nm0459746	Gerhard Klingenberg	1929	\N	['director', 'writer', 'actor']	['tt0054461', 'tt0058228', 'tt0054954', 'tt0063703']
nm0460294	Harry Klynn	1940	2018	['actor', 'writer', 'director']	['tt0236187', 'tt0235965', 'tt0236462', 'tt7153460']
nm0463171	Buz Kohan	1933	\N	['writer', 'producer', 'soundtrack']	['tt0331418', 'tt0250595', 'tt0061240', 'tt0340329']
nm0464523	Michael Koman	\N	\N	['writer', 'producer', 'actor']	['tt5361394', 'tt2297757', 'tt10801534', 'tt0072562']
nm0465950	Stevan Koprivica	1959	\N	['writer', 'script_department']	['tt2160915', 'tt14895146', 'tt6108262', 'tt9088324']
nm0478186	Eduard Künneke	1885	1953	['composer', 'soundtrack', 'music_department']	['tt0247018', 'tt0042563', 'tt0024066', 'tt0026330']
nm0481605	Leopold Lahola	1918	1968	['writer', 'director']	['tt9007222', 'tt0243563', 'tt0055519', 'tt0059134']
nm0482251	Rita Lakin	\N	\N	['writer', 'miscellaneous', 'producer']	['tt0068126', 'tt0062589', 'tt0061265', 'tt0073988']
nm0486524	John Langley	1943	2021	['writer', 'producer', 'director']	['tt1210042', 'tt1151359', 'tt0313910', 'tt0096563']
nm0488289	James Larkin	\N	\N	['director', 'actor', 'writer']	['tt0097499', 'tt1739298', 'tt7431790', 'tt3556920']
nm0491964	Emmet Lavery	1902	1986	['writer', 'actor']	['tt0047956', 'tt0043537', 'tt0034473', 'tt0034856']
nm0494885	Philip Leacock	1917	1990	['director', 'producer', 'assistant_director']	['tt0047736', 'tt0050507', 'tt0044443', 'tt0056397']
nm0495148	Tim Leandro	\N	\N	['director', 'writer', 'producer']	['tt0372574', 'tt0334874', 'tt0163437', 'tt0988820']
nm0495361	Don Leaver	1929	2015	['director', 'producer', 'actor']	['tt0054518', 'tt0108967', 'tt0083416', 'tt0098898']
