nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0880648	Rolf Ulrich	1921	2005	['writer', 'actor', 'music_department']	['tt0051963', 'tt0069504', 'tt0068683', 'tt0052161']
nm0880880	Fritz Umgelter	1922	1981	['director', 'writer', 'actor']	['tt0154064', 'tt0276726', 'tt0061423', 'tt0059686']
nm0890555	Guy Vasilovich	\N	\N	['director', 'art_director', 'producer']	['tt0870039', 'tt0088814', 'tt0177455', 'tt0091149']
nm0890672	Gabriel Vázquez Bulman	\N	\N	['cinematographer', 'director', 'camera_department']	['tt0096709', 'tt0215409', 'tt0378602', 'tt0131166']
nm0893555	José Luis Vera	\N	\N	['director', 'cinematographer', 'writer']	['tt0809228', 'tt0442055', 'tt0431923', 'tt14437864']
nm0894204	Paul Verhoeven	1901	1975	['actor', 'director', 'writer']	['tt0046502', 'tt0062091', 'tt0245087', 'tt0034817']
nm0897374	Lilo Vilaplana	\N	\N	['director', 'assistant_director', 'writer']	['tt1527368', 'tt2043209', 'tt3975034']
nm0898187	Zander Villayne	\N	\N	['actor', 'producer', 'camera_department']	['tt1288406', 'tt4624154', 'tt1688700', 'tt2712758']
nm0902697	Joachim von Mengershausen	1936	2020	['producer', 'actor', 'editorial_department']	['tt0075675', 'tt0118843', 'tt0093191', 'tt0087884']
nm0909124	Moira Walley-Beckett	\N	\N	['producer', 'writer', 'actress']	['tt5421602', 'tt0903747', 'tt3507484', 'tt6365796']
nm0911880	Tim Ward	\N	\N	['actor']	['tt0250750', 'tt0327506', 'tt0213561', 'tt0129082']
nm0911881	Tim Ward	\N	\N	['editorial_department']	['tt0094460', 'tt0101188']
nm0916053	Chris Webb	\N	\N	['writer']	['tt0096555', 'tt0184122', 'tt0241383', 'tt0088512']
nm0917061	Richard Wechsler	\N	\N	['miscellaneous', 'producer', 'writer']	['tt0058816', 'tt0095875', 'tt0065724', 'tt0098868']
nm0927154	Andreas Widmer	\N	\N	['cinematographer', 'camera_department', 'writer']	['tt2535160', 'tt8761758', 'tt6498258', 'tt6510634']
nm0928495	Patrick Wilde	\N	\N	['writer', 'actor']	['tt0088512', 'tt0238793', 'tt0162973', 'tt0115390']
nm0928623	Robert Wilder	1901	1974	['writer']	['tt0049966', 'tt0051411', 'tt0041373', 'tt0063621']
nm0928929	Kurt Wilhelm	1923	2009	['director', 'writer', 'actor']	['tt0055641', 'tt0056719', 'tt0059685', 'tt0211175']
nm0936204	Franz Peter Wirth	1919	1999	['director', 'writer', 'actor']	['tt0051712', 'tt0132663', 'tt0063997', 'tt0057287']
nm0937079	Karl Wittlinger	1922	1994	['writer', 'director']	['tt1666787', 'tt0377180', 'tt1492219', 'tt0415421']
nm0937725	Dick Wolf	1946	\N	['producer', 'writer', 'script_department']	['tt0203259', 'tt0275140', 'tt1166893', 'tt0098844']
nm0938352	Rainer Wolffhardt	1927	2017	['director', 'writer', 'actor']	['tt0806910', 'tt0273461', 'tt0112168', 'tt0433505']
nm0942185	Alex Wright	\N	\N	['director', 'producer', 'writer']	['tt8231086', 'tt9033640', 'tt7647010', 'tt8250512']
nm0943566	Lisa K. Wyatt	\N	\N	['actress', 'director', 'producer']	['tt0246578', 'tt0455407', 'tt0386676', 'tt0362478']
nm0946628	Tatyana Yassukovich	\N	\N	['actress', 'director', 'writer']	['tt6586332', 'tt1705038', 'tt14094498', 'tt0241303']
nm0949319	Bob Young	1952	\N	['producer', 'writer', 'miscellaneous']	['tt0078610', 'tt0101081', 'tt0318886', 'tt1597420']
nm0950256	Sid Youngers	\N	\N	['producer', 'writer', 'actor']	['tt0118303', 'tt0094540', 'tt0369179', 'tt0366055']
nm0951807	Roland Zag	\N	\N	['script_department', 'miscellaneous', 'writer']	['tt0166764', 'tt5884142', 'tt8633462', 'tt0117262']
nm0951988	Eva Zahn	1960	\N	['writer']	['tt5888994', 'tt0860503', 'tt6848282', 'tt6756488']
nm0951997	Volker A. Zahn	\N	\N	['writer']	['tt5888994', 'tt0860503', 'tt6848282', 'tt6756488']
nm0953375	María Zarattini	1955	2019	['writer']	['tt1803425', 'tt0245596', 'tt1091916', 'tt0459675']
nm0957008	Adalbert Alexander Zinn	1880	1941	['writer']	['tt0130751', 'tt1085701']
nm0958133	Michaela Zschiechow	1956	\N	['director', 'assistant_director']	['tt0178142', 'tt0421478', 'tt1410265', 'tt1711789']
nm0958798	Martin Zurla	\N	\N	['writer', 'actor']	['tt0090053', 'tt1493266', 'tt0116120']
nm0970473	Juan Carlos Vásquez	\N	\N	['director', 'cinematographer', 'assistant_director']	['tt5282122', 'tt0497939', 'tt4689598', 'tt6809396']
nm0996730	Salvatore De Mola	\N	\N	['writer']	['tt0920489', 'tt4392090', 'tt2259665', 'tt3867770']
nm10029864	Sarah Franco	\N	\N	['actress', 'director', 'producer']	['tt15822792', 'tt13912432', 'tt8804178']
nm10031261	Shahid Khan	\N	\N	['assistant_director', 'writer']	['tt12094306', 'tt12094278', 'tt12094350']
nm10043156	Tanisha Kotowich	\N	\N	['producer', 'actress', 'writer']	['tt10183342', 'tt8832430', 'tt12031402']
nm1004933	Terrence Sacchi	\N	\N	['producer', 'director', 'writer']	['tt2830432', 'tt3665674', 'tt1459078', 'tt2074641']
nm1005625	Paul Reitano	\N	\N	['producer', 'editor', 'director']	['tt1459078', 'tt2074641', 'tt3665674', 'tt0309202']
nm10069934	Jessie Imundi	\N	\N	['producer', 'writer', 'director']	['tt11946372', 'tt15138244', 'tt15138526', 'tt0361168']
nm1007820	P.K. Palmer	\N	\N	['writer', 'producer', 'director']	['tt0042100', 'tt0051301', 'tt0055661', 'tt0050077']
nm10079921	Nathan Howe	\N	\N	['miscellaneous', 'cinematographer', 'editor']	['tt11058116', 'tt8729800', 'tt10696896', 'tt11058050']
nm10087190	Violaine Huisman	\N	\N	['writer']	['tt2435372', 'tt12287656']
nm10100096	Akshay S. Poddar	\N	\N	['director', 'writer', 'editor']	['tt12048474', 'tt8982612', 'tt8954394', 'tt12810670']
nm1010047	Cindy Dorfmann	\N	\N	['producer', 'writer', 'director']	['tt8069412', 'tt4264440', 'tt9601258', 'tt13606230']
nm10144602	Renee Ashley	\N	\N	['actress', 'writer', 'assistant_director']	['tt8918562', 'tt11427216', 'tt4820546', 'tt10836872']
nm10146470	Michelle Prowse	\N	\N	['writer']	['tt9696352', 'tt10085008', 'tt10724678', 'tt11723586']
nm1016317	Kevin Dorff	1966	\N	['writer', 'actor', 'producer']	['tt1723121', 'tt2141913', 'tt2467372', 'tt0899126']
nm10176539	Edwin Miles	\N	\N	['director', 'cinematographer', 'editor']	['tt10544406', 'tt9096782', 'tt13705206', 'tt10965316']
nm10206470	Peter Knize	\N	\N	['producer', 'director', 'camera_department']	['tt9145184']
nm10208719	Aayush Agrawal	\N	\N	['producer', 'miscellaneous', 'writer']	['tt7045034', 'tt7112704', 'tt9025502', 'tt2570866']
nm10219014	Nermin Yildirim	\N	\N	['writer', 'actor']	['tt14715548', 'tt2262343']
nm1022063	Dimitris Potamitis	1945	2003	['writer', 'actor', 'director']	['tt1111863', 'tt0144943', 'tt8438450', 'tt13006622']
nm10240800	Jude Nassar	2003	\N	['director', 'writer', 'editor']	['tt10985156', 'tt10394896', 'tt9758582', 'tt12180560']
nm1024708	Morgan Langley	\N	\N	['producer', 'writer', 'actor']	['tt1128727', 'tt1624301', 'tt0096563', 'tt1240537']
nm1024715	Alonso O. Lara	\N	\N	['director', 'editor', 'writer']	['tt15738214', 'tt14624932', 'tt3481630', 'tt0275595']
nm10249450	Michael Eaborn	1997	\N	['director', 'actor', 'producer']	['tt11396234', 'tt10622458', 'tt10383870', 'tt15399740']
nm1028575	Jesús del Cerro	\N	\N	['director', 'producer', 'writer']	['tt5566714', 'tt10993566', 'tt0338639', 'tt1135964']
nm10297145	Nikos Tsoup	\N	\N	['actor', 'writer', 'director']	['tt10790842', 'tt10413016', 'tt10229166', 'tt12864740']
nm10299132	Bernie Wolski	\N	\N	['actor', 'art_department', 'writer']	['tt9748418']
nm1030901	Lindy Lindstrom	\N	\N	['producer', 'editorial_department', 'miscellaneous']	['tt0290870', 'tt1194641', 'tt1740717', 'tt7900322']
nm10350769	Durin Das	\N	\N	['assistant_director', 'actor']	['tt11551692', 'tt11560020', 'tt13225306', 'tt9401936']
nm10363157	Jonterri Gadson	\N	\N	['writer', 'director']	['tt9526230', 'tt9022950', 'tt10309118', 'tt6874206']
nm10380516	Merih Aslan	\N	\N	['script_department', 'writer']	['tt10075318', 'tt13528822', 'tt7668518']
nm10386911	Murad Zaloglu	\N	\N	['director', 'miscellaneous']	['tt9573802', 'tt11519740', 'tt10376348', 'tt14551046']
nm10436472	Timur Semishev	\N	\N	['director', 'writer', 'editor']	['tt14857652']
nm10463325	Ezgi Gören	\N	\N	['miscellaneous', 'writer']	['tt14827134', 'tt4787028']
nm1046369	Leonardo Padrón	\N	\N	['writer', 'actor']	['tt1344051', 'tt0495925', 'tt14361986', 'tt8682608']
nm10542453	Kristian Repshus	\N	\N	['actor', 'writer', 'editor']	['tt12316990', 'tt10943608', 'tt11554770', 'tt12316960']
nm10549113	Thomas James Fitzsimons	\N	\N	['director', 'cinematographer', 'editor']	['tt10136724', 'tt10023192', 'tt13242844']
nm10555428	Tim Ward	\N	\N	['']	['\\N']
nm10555990	Nikita Dhond	\N	\N	['writer']	['tt13529854', 'tt13294456', 'tt9833584', 'tt8523124']
nm1058979	Mugur Mihaescu	\N	\N	['actor', 'writer', 'producer']	['tt0297132', 'tt0910958', 'tt3439952', 'tt1210365']
nm1059815	Miguel Barros	1975	\N	['writer', 'actor', 'producer']	['tt0487856', 'tt0375433', 'tt0495653', 'tt0495664']
nm10607353	Brian Hermida Stubbe	\N	\N	['director', 'writer', 'producer']	['tt13304980', 'tt10155128']
nm10610421	Garduño Horacio	\N	\N	['writer']	['\\N']
nm1061376	Bryan Thompson	\N	\N	['miscellaneous', 'writer']	['tt0111996', 'tt4426464', 'tt0283226', 'tt0870039']
nm10625960	Eleni Anagnostopoulou	1992	\N	['writer', 'producer', 'miscellaneous']	['tt6987380', 'tt13305554', 'tt10943554', 'tt4489232']
nm1062667	Danilo Milosev	\N	\N	['director', 'writer', 'editor']	['tt0304966', 'tt0299753', 'tt0303254', 'tt0300258']
nm10629510	Wilson Rafael de Azevedo	\N	\N	['actor', 'writer', 'director']	['tt10203450', 'tt15738512', 'tt13286710', 'tt12547676']
nm10630368	Akhilesh Bhagat	\N	\N	['']	['\\N']
nm10640878	Thanasis Tachtsidis	\N	\N	['actor', 'director', 'writer']	['tt10790842', 'tt10308306', 'tt10230580', 'tt11707480']
nm10648040	Tẃant Lavish	\N	\N	['director', 'writer', 'producer']	['tt14655752', 'tt11056322', 'tt14675732', 'tt14642116']
nm1065427	Achim Michael Hasenberg	\N	\N	['producer', 'director', 'editor']	['tt6340952', 'tt0424441', 'tt2246979', 'tt1869359']
nm10654631	Jeff Willy	\N	\N	['actor', 'writer', 'producer']	['tt13304460', 'tt11667846', 'tt11317356', 'tt11164600']
nm10656343	Smileybs	\N	\N	['director', 'writer', 'editor']	['tt10261548', 'tt10471404', 'tt14749180', 'tt14743204']
nm10665667	Erdem Açikgöz	\N	\N	['writer']	['tt14395722', 'tt12439466', 'tt8478162']
nm10669165	Nick Cassol	\N	\N	['director', 'actor', 'writer']	['tt10288054', 'tt12732240', 'tt13470022']
nm10669166	Max Messmer	\N	\N	['director', 'producer', 'actor']	['tt13470022', 'tt10288054']
nm1068768	Joe Brumm	\N	\N	['writer', 'director', 'animation_department']	['tt9618254', 'tt7678620', 'tt0298791', 'tt6392144']
nm1068983	Roger Deutsch	\N	\N	['writer', 'producer', 'director']	['tt0359139', 'tt4208256', 'tt0420766', 'tt0359505']
nm10691272	Preston Mohr	\N	\N	['writer', 'director', 'cinematographer']	['tt15366346', 'tt16034170', 'tt14677182', 'tt10327212']
nm10693668	J. Branden Turner	\N	\N	['writer', 'producer']	['tt10332270']
nm10694242	Collieth Clark	\N	\N	['writer', 'miscellaneous']	['tt1740717']
nm10694243	Wendy O'Rourke	\N	\N	['writer', 'miscellaneous']	['tt1740717']
nm10697779	Yiannis Foteinos	\N	\N	['director', 'actor', 'script_department']	['tt15077362', 'tt6097390']
nm10698476	Mark Edens	\N	\N	['writer']	['tt1740717']
nm10707296	Elizabeth Tobias	\N	\N	['director', 'writer', 'producer']	['\\N']
nm1072424	August Senoa	1838	1881	['writer']	['tt0293404', 'tt1418128', 'tt13539312', 'tt6803026']
nm10765595	Burhan Bercin	\N	\N	['art_department']	['tt13563792', 'tt12526956', 'tt10428534']
nm1076885	Laurie Israel	\N	\N	['writer', 'soundtrack', 'producer']	['tt10515488', 'tt2229129', 'tt2136138', 'tt4549142']
nm10769307	Marzia Kamyabi Chambers	\N	\N	['director', 'writer', 'editor']	['tt15827972', 'tt10494136', 'tt12932620', 'tt13581482']
nm10770879	Daniel Order	\N	\N	['camera_department', 'director', 'cinematographer']	['tt10498134', 'tt10857136']
nm10780409	Laurits Geertz-Hansen	\N	\N	['producer', 'writer', 'actor']	['tt13641928', 'tt13540736', 'tt13540416', 'tt12170806']
nm10788309	Nora Younkin	\N	\N	['director', 'cinematographer', 'editor']	['\\N']
nm1079896	Terry McFadden	\N	\N	['actor', 'producer', 'writer']	['tt10339038', 'tt0840018', 'tt15300176', 'tt0094574']
nm10823555	Emanuele Franz	\N	\N	['writer', 'producer', 'editor']	['tt10608660']
nm10851485	Ivana Stürzenbaum	\N	\N	['']	['tt11405752', 'tt13570530', 'tt10669988', 'tt10670154']
nm10853787	Amr Nabeel	\N	\N	['actor', 'writer', 'director']	['tt11079964', 'tt14090644', 'tt12951802', 'tt11951722']
nm10868684	Shivam Jemini	1997	\N	['director', 'actor', 'writer']	['tt10731210', 'tt11536262', 'tt5997666', 'tt11604654']
nm10872594	Morgan Hendrickson	\N	\N	['writer']	['\\N']
nm10876673	David Holmstrom	\N	\N	['director', 'writer']	['\\N']
nm10884501	Kenneth	\N	\N	['writer', 'director', 'actor']	['tt10910814', 'tt10745236', 'tt12483172']
nm10897961	Taylor Rachel Carnes	\N	\N	['']	['\\N']
nm10916316	Nathan Hackett	\N	\N	['cinematographer', 'editor', 'producer']	['tt15300698', 'tt13261682', 'tt14072954', 'tt14099038']
nm10922954	Tim Ward	1994	\N	['']	['\\N']
nm10924491	Chase Nappier	\N	\N	['director', 'editor']	['tt10831394']
nm10927148	David O. Anderson	\N	\N	['producer', 'director', 'writer']	['tt10836872', 'tt11051160', 'tt10919932', 'tt10885644']
nm10956727	Kevin	\N	\N	['actor', 'producer', 'writer']	['tt12483172', 'tt10910814']
nm10970360	Zoi Gaidatzi	\N	\N	['assistant_director', 'camera_department', 'costume_department']	['tt4489232', 'tt12513696', 'tt15758066', 'tt10943460']
nm1097698	Allan Kartun	\N	\N	['director', 'assistant_director', 'miscellaneous']	['tt0159876', 'tt0112456', 'tt0899126', 'tt1670345']
nm10996666	Ricardo M. Leite	\N	\N	['writer', 'director', 'assistant_director']	['tt14286136', 'tt10978676', 'tt15403660', 'tt13122242']
nm11020060	Sébastien Meulenbergh	\N	\N	['director']	['\\N']
nm11022106	Andriy Zayets	\N	\N	['director', 'writer', 'producer']	['tt11341770', 'tt11034922', 'tt15507362', 'tt15507482']
nm11023606	Leah Radecki	\N	\N	['']	['\\N']
nm11023607	Seattle Ganja Goddess	\N	\N	['actress', 'writer', 'producer']	['\\N']
nm1102433	Lorin Davis	1966	\N	['director', 'cinematographer', 'actress']	['tt7970438', 'tt11713422', 'tt2793326', 'tt0118276']
nm11030618	Nicholas Cornick	\N	\N	['director', 'writer', 'visual_effects']	['tt14181994', 'tt13242586', 'tt14181808', 'tt11923170']
nm11040850	Rainaldo Graziani	\N	\N	['writer', 'producer', 'actor']	['tt11474062', 'tt11972952', 'tt11460966', 'tt11930236']
nm11040939	Nick Coleman	\N	\N	['actor', 'director', 'writer']	['tt11902724', 'tt13819414', 'tt11054160']
nm11045547	Aden Paris	\N	\N	['producer', 'director', 'actor']	['tt12942678', 'tt11111074', 'tt12942410']
nm1105142	Aaron Fishman	1978	\N	['producer', 'director', 'writer']	['tt0833404', 'tt13265452', 'tt0327766', 'tt0305259']
nm11054312	Tiberiu Enache	1993	\N	['actor', 'director', 'cinematographer']	['tt15796930', 'tt13073686', 'tt15796890', 'tt13406074']
nm11064160	Mustafa Becit	\N	\N	['writer', 'actor']	['tt10476544', 'tt4655640', 'tt11561800', 'tt12872884']
nm11064316	Loredana Daroczi	\N	\N	['director', 'actress', 'editor']	['\\N']
nm11066250	Krupesh Thacker	\N	\N	['director', 'writer', 'composer']	['tt11155270', 'tt11152460', 'tt11148730']
nm11080600	Won Joon Yoon	\N	\N	['actor', 'writer', 'producer']	['tt6033150', 'tt13460978', 'tt11074318', 'tt3579990']
nm11085570	Giorgos Fragoulis	\N	2019	['writer']	['tt11185112']
nm11092340	Elitsa Burzashka	\N	\N	['director', 'editor']	['tt11502790', 'tt11199162']
nm11092344	Lubomir Filipiv	\N	\N	['director', 'writer']	['tt11502790', 'tt11199162']
nm11103683	Josh Buoy	\N	\N	['director', 'editor']	['\\N']
nm11110041	Giorgi Lemonjava	1998	\N	['writer', 'actor']	['tt13717984', 'tt13828606', 'tt13599228', 'tt11238614']
nm11110042	Tamar Tabukashvili	\N	\N	['writer', 'make_up_department', 'producer']	['tt13717984', 'tt11238614']
nm11128343	Hazar Deniz BG	1998	\N	['director', 'writer', 'actor']	['tt11437496', 'tt11281950', 'tt11281576', 'tt13701892']
nm1113284	Andrew Robbins	\N	\N	['writer', 'producer', 'actor']	['tt0903129', 'tt8359018', 'tt0112164', 'tt1397480']
nm11138699	Indraneel Kaul	\N	\N	['director', 'writer', 'assistant_director']	['tt11301950', 'tt0398592', 'tt11301300', 'tt11300762']
nm1115084	Kati Rocky	\N	\N	['writer', 'miscellaneous']	['tt0106064', 'tt0387741', 'tt0108921', 'tt0144296']
nm11165122	Fraser Kee Scott	\N	\N	['writer', 'director']	['tt11348326', 'tt11934844']
nm11177934	Kevin Miller	\N	\N	['director', 'producer', 'editor']	['tt12192534', 'tt11385140', 'tt12676650']
nm11178176	Matías De Leis Correa	1990	\N	['actor', 'producer', 'director']	['tt12007230', 'tt11782684', 'tt11791404', 'tt13691710']
nm11185737	Lluís Bogunya	\N	\N	['director', 'cinematographer', 'editor']	['tt11404576', 'tt12204326', 'tt13616014']
nm11195527	Gianluca Martiradonna	\N	\N	['camera_department', 'writer', 'cinematographer']	['tt12058866', 'tt11474062', 'tt12169084', 'tt11389412']
nm11196782	Tim Ward	\N	\N	['']	['\\N']
nm11203467	George Manalis	\N	\N	['']	['\\N']
nm11209717	Jonni Shandor	\N	\N	['actress', 'writer', 'producer']	['tt11452024', 'tt13206586', 'tt12186344', 'tt6771136']
nm11240612	Maggie Barnard	\N	\N	['actress', 'writer', 'producer']	['tt11539824', 'tt13689406', 'tt13650696']
nm11246107	Jack Stockley	\N	\N	['director', 'writer', 'producer']	['tt14421260', 'tt14421300', 'tt14196626', 'tt14421636']
nm11273036	Abd Alkader Habak	\N	\N	['director', 'cinematographer', 'camera_department']	['tt14100874', 'tt11608318', 'tt5013776']
nm11290964	Micaela Steinfeld	\N	\N	['writer']	['tt11650954']
nm11297788	Chantelle Mussell	\N	\N	['actress', 'producer', 'writer']	['tt14458084', 'tt14458478', 'tt13405026', 'tt14460194']
nm11297880	Helga Delgado	\N	\N	['director', 'actress']	['tt11664468']
nm11297881	Ann-Sophie Reintjes	\N	\N	['director']	['\\N']
nm11301451	Chandan Yelamanchili	\N	\N	['director', 'writer', 'actor']	['tt13003742', 'tt11673570', 'tt11723984', 'tt10661768']
nm11358335	A. Kadir	\N	\N	['']	['tt12898542', 'tt11779744']
nm11373942	V. Blake Rose	\N	\N	['director', 'writer', 'editor']	['tt15803098', 'tt15791642', 'tt13091748', 'tt15906708']
nm1137575	Víctor Ortíz	1969	\N	['actor', 'writer', 'director']	['tt2315006', 'tt1492873', 'tt5606646', 'tt0393130']
nm11377856	Tridev	\N	\N	['director', 'writer', 'producer']	['\\N']
nm1139967	Bradley Montesi	\N	\N	['art_department', 'director', 'visual_effects']	['tt0458481', 'tt1888567', 'tt2002718', 'tt3769594']
nm11404102	Jacob Kau	\N	\N	['director', 'cinematographer', 'writer']	['tt16126264', 'tt13242586', 'tt12304988', 'tt14181808']
nm11405210	Dusan Nestorovic	\N	\N	['director', 'writer', 'cinematographer']	['tt11926728', 'tt12980094']
nm11407576	Curtis Leitch	\N	\N	['director', 'writer', 'editor']	['tt11933312']
nm11410669	Dustin Griffin	\N	\N	['writer']	['tt11940818']
nm11416422	Marcel Grabowiecki	\N	\N	['actor', 'writer', 'producer']	['tt12232634', 'tt10092362', 'tt13109924', 'tt12942822']
nm11416730	Jack Weir	\N	\N	['actor', 'director', 'writer']	['tt13898902', 'tt13894316', 'tt12009844']
nm11417897	Loredana Di Martino	\N	\N	['actress', 'director', 'writer']	['tt7278862', 'tt15815832']
nm11422782	Kim Cypher	\N	\N	['director', 'actress', 'producer']	['tt13230810', 'tt12459016', 'tt12459558']
nm1142762	Allen L. Sowelle	\N	\N	['editor', 'producer', 'writer']	['tt5728394', 'tt7817340', 'tt2208533', 'tt7167464']
nm11441617	Jovan Gruncic	\N	\N	['director', 'writer']	['tt12015730']
nm11441618	Nikola Davic	\N	\N	['writer']	['tt12015730']
nm11461417	Riccardo Traversa	\N	\N	['actor', 'writer', 'cinematographer']	['tt12058866', 'tt9622476', 'tt12169084']
nm11474053	Manu Sharma	\N	\N	['writer']	['tt11820524', 'tt12235682', 'tt7915230']
nm11476616	Igor Correa	\N	\N	['director', 'writer', 'producer']	['tt12093474']
nm11483580	Andruw Futcher	\N	\N	['actor', 'director', 'writer']	['tt12150240', 'tt12112020']
nm11487824	Spyridon Antonios Argyros	\N	\N	['actor', 'writer', 'producer']	['tt12513696', 'tt6987380', 'tt0257326', 'tt13305554']
nm11493630	Cem Tuncer	1978	\N	['sound_department', 'composer', 'soundtrack']	['tt5508148', 'tt13174442', 'tt9320196', 'tt15395452']
nm11508143	Beatrice Contardi	\N	\N	['writer']	['tt12169084']
nm11509581	Axel Trier Wang	\N	\N	['actor', 'composer', 'writer']	['tt13925116', 'tt13641560', 'tt13540416', 'tt12170806']
nm11512981	Jeremy Lloyd	\N	\N	['actor', 'writer', 'composer']	['\\N']
nm11522355	Felix Crainicu	\N	\N	['producer', 'director', 'writer']	['tt12352654', 'tt15204428', 'tt12199730']
nm11523859	Cheewin Thanamin Wongskulphat	\N	\N	['director']	['tt12729142', 'tt6173228', 'tt12204002', 'tt14764474']
nm11530429	Karimah Cannon	\N	\N	['actress', 'writer', 'producer']	['tt13612530', 'tt12216622', 'tt15347188']
nm11538030	Luca Tropea	\N	\N	['director', 'writer', 'producer']	['tt12333370', 'tt12232634']
nm11538031	Anna Audrien	\N	\N	['writer', 'director', 'producer']	['tt12333370', 'tt12232634']
nm11546059	Nitesh Tyagi	\N	\N	['director', 'editor']	['tt13937902', 'tt12648542', 'tt12248730', 'tt13562838']
nm11559954	Krunal Rane	\N	\N	['director', 'writer', 'editor']	['tt14773272', 'tt12276318', 'tt14772998', 'tt12276256']
nm11564491	Giannis Karydakis	\N	\N	['director', 'actor', 'miscellaneous']	['\\N']
nm11569649	Fazeel	\N	\N	['director', 'writer']	['tt12299114', 'tt14097152']
nm11579482	Samantha Bozin	\N	\N	['director', 'producer', 'writer']	['tt13977564', 'tt12368434', 'tt13370112', 'tt14039388']
nm11579900	Vasile Badoiu	\N	\N	['camera_department', 'director', 'cinematographer']	['tt12809770', 'tt12321420', 'tt12322056']
nm11589320	Tabish Khair	\N	\N	['writer']	['\\N']
nm11590681	Alex Vlad	\N	\N	['actor', 'writer', 'director']	['tt12356808', 'tt16026156', 'tt12352654', 'tt7854216']
nm11590790	Tim Ward	\N	\N	['']	['\\N']
nm1159109	Kanin Guntzelman	1986	\N	['miscellaneous', 'actor', 'producer']	['tt2668986', 'tt1096985', 'tt2078578', 'tt2492592']
nm11591496	Sergei Rudenko	\N	\N	['editor', 'assistant_director', 'director']	['tt12487452', 'tt12740192', 'tt12700606', 'tt12349946']
nm11593286	Dana Stinga	\N	\N	['actress', 'writer']	['tt12352654']
nm11593288	Laura Alexandra Voicu	\N	\N	['actress', 'writer']	['\\N']
nm11598886	Lorena Marinescu	\N	\N	['director', 'writer', 'producer']	['\\N']
nm11599898	Heidi Eikenhorst	\N	\N	['actress', 'writer', 'art_department']	['tt13375776', 'tt13370112', 'tt14039388', 'tt14508452']
nm11620437	Winston Cowie	\N	\N	['director', 'writer', 'producer']	['tt12414472', 'tt12413918', 'tt14744136']
nm11620611	Maitri Somaia	\N	\N	['writer', 'editor']	['\\N']
nm11624298	Paulo Viníccius Santos Ferraz	1993	\N	['actor', 'director', 'producer']	['tt12423408', 'tt15613780', 'tt16234346']
nm11624299	Davi Freitas	\N	\N	['actor', 'producer', 'writer']	['tt12423408', 'tt15613780']
nm11624300	Hugo Santos Ferraz	\N	\N	['actor', 'producer', 'writer']	['tt16245160', 'tt15613780', 'tt12423408']
nm11624578	Fatih Dedeli	\N	\N	['director', 'writer', 'cinematographer']	['\\N']
nm11629605	Noah Mørch Rysager	\N	\N	['director', 'actor', 'writer']	['tt12434914']
nm11629606	Jakob Grønbech Bogø	\N	\N	['director', 'actor', 'writer']	['tt12434914']
nm11629607	Oskar Emanuel Mortensen	\N	\N	['actor', 'writer', 'producer']	['tt12434914']
nm11654053	Tim Ward	\N	\N	['']	['\\N']
nm11657393	Dareen Tatour	\N	\N	['writer']	['tt12287656']
nm11658159	Asoq Pathak	\N	\N	['director', 'writer', 'cinematographer']	['tt12504298']
nm11658161	Sudeep Giri	\N	\N	['writer']	['tt12504298']
nm11670613	Mike Barkhoff	\N	\N	['writer', 'director', 'editor']	['tt12617838', 'tt12624348', 'tt14623966', 'tt12617878']
nm11677973	Abdulrhman Alreshidan	\N	\N	['writer', 'director', 'actor']	['tt12560012', 'tt13182334']
nm11678119	Guillermo Prieto IV	\N	\N	['writer', 'director', 'editor']	['tt12560362', 'tt13348382', 'tt13476726', 'tt13666208']
nm11695246	Zoé	\N	\N	['writer']	['tt12603848']
nm11701023	Ashtun O'Rourke	\N	\N	['actress', 'writer', 'producer']	['tt12617878', 'tt12617838', 'tt14316162', 'tt12624348']
nm11701024	Jarrod Van Hauen	\N	\N	['producer', 'actor', 'writer']	['tt14074042', 'tt14547620', 'tt14152768', 'tt12624348']
nm11701026	Dylan Van Hauen	\N	\N	['actor', 'producer', 'director']	['tt14547620', 'tt12624348', 'tt14316618', 'tt14316932']
nm11701035	Josey Davis	\N	\N	['actress', 'writer', 'producer']	['tt14316162', 'tt13444542', 'tt12624348', 'tt12617838']
nm11701037	Conner Paulsen	\N	\N	['producer', 'actor', 'writer']	['tt14547620', 'tt13441060', 'tt12622434', 'tt12617878']
nm11701081	Zach Delfs	\N	\N	['producer', 'director', 'writer']	['tt12617838', 'tt14547620', 'tt12624348', 'tt14316932']
nm1171843	Jocelyn Cornforth	\N	\N	['miscellaneous', 'writer', 'script_department']	['tt0783303', 'tt0429422', 'tt7297872', 'tt1181541']
nm11722140	Onur Akcakoca	\N	\N	['']	['tt13690458', 'tt9776132']
nm11724226	Nadiia Pavlyk-Vachkova	\N	\N	['writer', 'producer', 'actress']	['tt12762702', 'tt12719560', 'tt12306534', 'tt12735534']
nm11733307	Team D.S. Creations	\N	\N	['casting_director', 'casting_department', 'miscellaneous']	['tt5065688', 'tt3533672', 'tt2560016', 'tt1584917']
nm11741437	Khrystyna Vasylchuk	\N	\N	['director']	['tt12740126', 'tt12719570']
nm11748309	Lolita Zhus	\N	\N	['director']	['\\N']
nm11749816	Nikole Borman	\N	\N	['writer']	['tt12739954']
