tconst	parentTconst	seasonNumber	episodeNumber
tt0709276	tt0250750	2	10
tt0709277	tt0250750	2	5
tt0709278	tt0250750	2	2
tt0709279	tt0250750	2	13
tt0709280	tt0250750	2	11
tt0709281	tt0250750	2	14
tt0709282	tt0250750	2	7
tt0709283	tt0250750	2	8
tt0709284	tt0250750	1	19
tt0709285	tt0250750	1	20
tt0709286	tt0250750	1	11
tt0709287	tt0250750	1	10
tt0709288	tt0250750	1	12
tt0709290	tt0250750	1	9
tt0709291	tt0250750	1	6
tt0709292	tt0250750	1	22
tt0709293	tt0250750	1	4
tt0709294	tt0250750	1	16
tt0709295	tt0250750	1	5
tt0709298	tt0250750	1	2
tt0710586	tt0219457	7	25
tt0726124	tt0108965	1	9
tt0737293	tt0360314	\N	\N
tt0737295	tt0360314	\N	\N
tt0739509	tt0101232	1	4
tt0739721	tt0400051	3	12
tt0744774	tt0281521	2	14
tt0747407	tt0050077	2	2
tt0757586	tt0421427	1	48
tt0758594	tt0292805	2	1
tt0759145	tt0484803	1	3
tt0760897	tt0106052	13	78
tt0763624	tt0088517	10	8
tt0764489	tt0384744	\N	\N
tt0764548	tt0456104	1	10
tt0764554	tt0456104	1	9
tt0764555	tt0456104	1	11
tt0764558	tt0456104	1	8
tt0765954	tt0101188	2	5
tt0767403	tt0240295	\N	\N
tt0767480	tt0250750	1	3
tt0776617	tt0101188	1	7
tt0776653	tt0250750	2	19
tt0778440	tt0240295	\N	\N
tt0792332	tt0078647	1	1
tt0795873	tt0407423	44	79
tt0797983	tt0283707	\N	\N
tt0797994	tt0283707	\N	\N
tt0799361	tt0250750	1	1
tt0819260	tt0240295	\N	\N
tt0819261	tt0240295	\N	\N
tt0823572	tt0065323	37	4
tt0825989	tt0823365	1	2
tt0825990	tt0823365	1	1
tt0825991	tt0823365	1	3
tt0829898	tt0823365	1	5
tt0829899	tt0823365	1	4
tt0829900	tt0823365	1	6
tt0829901	tt0823365	1	7
tt0837431	tt0101188	1	1
tt0837731	tt0823365	1	8
tt0838094	tt0101188	4	16
tt0838808	tt0818152	1	3
tt0839691	tt0815086	1	13
tt0845906	tt0250750	1	13
tt0854209	tt0847611	1	1
tt0857787	tt0804414	1	3
tt0868009	tt0804414	1	6
tt0871324	tt0162108	1	1
tt0871325	tt0162108	1	2
tt0879218	tt0833404	1	1
tt0899704	tt0155429	1	1
tt0910483	tt0250750	1	17
tt0910484	tt0250750	1	15
tt0910485	tt0250750	1	18
tt0910486	tt0250750	1	7
tt0910487	tt0250750	1	14
tt0910488	tt0250750	1	8
tt0910490	tt0250750	1	21
tt0930809	tt0147756	2	4
tt0944425	tt0055680	1	3
tt0946331	tt0458270	1	11
tt0946336	tt0458270	1	12
tt0946339	tt0458270	1	10
tt0956809	tt0884294	1	61
tt0956812	tt0884294	1	28
tt0959814	tt0458270	1	20
tt0959820	tt0458270	2	2
tt0968663	tt0360314	\N	\N
tt0974993	tt0884294	1	22
tt0980711	tt0162108	1	6
tt0980712	tt0162108	1	3
tt0980713	tt0162108	1	5
tt0980714	tt0162108	1	4
tt0984515	tt0866639	2	5
tt0984679	tt0384767	2	2
tt0989318	tt0407423	48	28
tt0999248	tt0428163	1	9
tt0999249	tt0428163	1	7
tt0999250	tt0428163	1	6
tt0999251	tt0428163	1	5
tt0999252	tt0428163	1	10
tt0999253	tt0428163	1	2
tt0999254	tt0428163	1	3
tt0999255	tt0428163	1	8
tt0999256	tt0428163	1	1
tt1000219	tt0147756	1	8
tt10007578	tt9170658	2	3
tt10014586	tt0062595	1	5796
tt10014594	tt0062595	1	5799
tt10015650	tt0407423	46	53
tt10016470	tt9916380	1	1
tt10016510	tt9916380	1	2
tt1001953	tt0407423	48	24
tt10046288	tt9826524	1	14
tt10048018	tt9833584	1	5
tt1007457	tt0055688	7	56
tt1007848	tt1000543	1	2
tt10085174	tt0407423	47	2
tt10090288	tt10085008	1	1
tt10091318	tt9826524	1	28
tt10105078	tt1915208	1	283
tt10125682	tt10085008	1	2
tt10151530	tt1915208	1	284
tt10155842	tt0407423	42	43
tt10157066	tt3989678	1	16
tt10163226	tt8618624	\N	\N
tt1016461	tt0065272	\N	\N
tt10164694	tt0407423	49	7
tt10166288	tt0407423	49	20
tt10166754	tt0407423	48	109
tt10166974	tt10085008	1	3
tt10166992	tt10085008	1	4
tt10166996	tt10085008	1	5
tt10169192	tt0407423	48	110
tt10172692	tt0407423	49	29
tt10174384	tt0407423	45	27
tt10177462	tt9170658	2	4
tt1017767	tt0458270	2	15
tt10179292	tt9170658	2	5
tt10179308	tt9170658	2	6
tt10185596	tt0407423	49	38
tt10192578	tt0407423	49	41
tt10195292	tt0407423	49	45
tt10196520	tt4489232	7	15
